file,sha256,prefix,mode,gui_waves_coefficient,repeat,min_counts,max_counts,negative_pixel_fraction,fraction_at_nominal_full_scale
Astig_cos_ne_1.bmg,4cd4a77c5a7d709bc3c77c23e1a43614d0e7c921bf530b79f4d37b5d2e2066a9,Astig_cos_ne,astig_cos,-0.5,1,-55,3699,0.175750732421875,0.0
Astig_cos_ne_2.bmg,04df0a2d026464e7c7ee43564eb745fa5054c5192975c81c1fc4ea5adbd3aabe,Astig_cos_ne,astig_cos,-0.5,2,-63,3213,0.1420884132385254,0.0
Astig_cos_ne_3.bmg,7628c0645c156fe3646a64349c86e4724fe0a37a2f0e0f3c0f505268760b1237,Astig_cos_ne,astig_cos,-0.5,3,-48,3063,0.16156935691833496,0.0
Astig_cos_ne_4.bmg,ae815e4e181ed7debb4e0eef25e1561368b064572aa11243d65d601dcb2f35d2,Astig_cos_ne,astig_cos,-0.5,4,-63,3446,0.13425588607788086,0.0
Astig_cos_po_1.bmg,ddd13680512f544bbe2b9deeec77d3a359ac3533da634a14bacff903565aca1e,Astig_cos_po,astig_cos,0.5,1,-62,4003,0.2134397029876709,0.0
Astig_cos_po_2.bmg,c669e21fbe4769c5c3249943b6d9499e71e38dfdc5afa9765920abc9994bc6c8,Astig_cos_po,astig_cos,0.5,2,-57,4001,0.13831043243408203,0.0
Astig_cos_po_3.bmg,924e4dd000f4f2eb77831c4a3793d2313e8f5d65e638707effcda4472cadbc48,Astig_cos_po,astig_cos,0.5,3,-62,4003,0.10889005661010742,0.0
Astig_cos_po_4.bmg,4f1e8c54687d9e8b3c7d0f4b11cc2eed610aea3ac35d2a5359e9ea8be25295f4,Astig_cos_po,astig_cos,0.5,4,-64,4001,0.1511693000793457,0.0
Astig_sin_ne_1.bmg,15ddb1efc6ba22c97ab25d8815c1905cede808a6f24d792d7aefd5af520f45a0,Astig_sin_ne,astig_sin,-0.5,1,-57,3347,0.13147211074829102,0.0
Astig_sin_ne_2.bmg,cd3cd72ee1c034c24d496badd5f5c9ff2f193119432764af9d7a72d6fdac4142,Astig_sin_ne,astig_sin,-0.5,2,-48,3756,0.15459823608398438,0.0
Astig_sin_ne_3.bmg,da6913dfb77edc56df5453107096188b79b10fd1da7749325bf84efbf3caac98,Astig_sin_ne,astig_sin,-0.5,3,-52,3231,0.161607027053833,0.0
Astig_sin_ne_4.bmg,2b24096a6b53fe85cd353d97cca522ba1043e2b35f763eb5e1ab6234845093ba,Astig_sin_ne,astig_sin,-0.5,4,-57,3718,0.12727808952331543,0.0
Astig_sin_po_1.bmg,bea8bf5dc4d65d50dc022be76f4aaff4a3ee7d98ac24560d751f7810cb8eabc2,Astig_sin_po,astig_sin,0.5,1,-106,3745,0.18711256980895996,0.0
Astig_sin_po_2.bmg,72683a9236166e737b96b9a7ba18f64b51db884659c1a8746692e94ea75f6143,Astig_sin_po,astig_sin,0.5,2,-94,4008,0.16825032234191895,0.0
Astig_sin_po_3.bmg,c75056560c9c0e0d064729303fb730822f92820775b6b38efe92189d7521688e,Astig_sin_po,astig_sin,0.5,3,-94,3894,0.1541762351989746,0.0
Astig_sin_po_4.bmg,b1ad3b107206e64e08de7f57833bd2d12ba9557381192ceabfce64dca3292acc,Astig_sin_po,astig_sin,0.5,4,-94,3817,0.12125444412231445,0.0
base_1.bmg,be9ece040b830fd4ee88a0bfb108b80ee8568d021665eb7eea5703a452dfa8d8,base,baseline,0.0,1,-95,3272,0.15937399864196777,0.0
base_2.bmg,3c827c1ee281c41297b0df8765a9463f4a306a9d657f6cc92dc04c0499ea93f0,base,baseline,0.0,2,-86,3386,0.1957550048828125,0.0
base_3.bmg,f49fa6834c7feed1504d01c80bda035062c40cf448d94c8ceb2298d459a03d7b,base,baseline,0.0,3,-96,3330,0.19144582748413086,0.0
base_4.bmg,7c27fcefb12c448e280e2d6807d084b845698d2f541765339e3baa095fa7f3be,base,baseline,0.0,4,-103,3255,0.18724703788757324,0.0
coma_cos_ne_1.bmg,d519bd588a0d5743d43e8331c539f432b32b6c81ce2609cd0cc327c0bb00a84d,coma_cos_ne,coma_cos,-2.0,1,-97,3734,0.22611260414123535,0.0
coma_cos_ne_2.bmg,4917cee441b99a0898a8f9d4dfbd7a5f0bbd4a96eeac871e9e5f55024ae8237f,coma_cos_ne,coma_cos,-2.0,2,-99,3807,0.1545093059539795,0.0
coma_cos_ne_3.bmg,f9c686b0f1cfc3b659a7ac040addbf3e2813ab9e45874521d4f989adc09f6767,coma_cos_ne,coma_cos,-2.0,3,-92,3306,0.17602944374084473,0.0
coma_cos_ne_4.bmg,f19f7b3e69c7cc8102bb3b7054f1bd1328fa015c5a790eca231775e868c33e81,coma_cos_ne,coma_cos,-2.0,4,-95,3193,0.20700383186340332,0.0
coma_cos_pos2.0_1.bmg,a01bdced6a9135bc411252bf3271142e2d57c071968881b5cd1f89b258bac138,coma_cos_pos2.0,coma_cos,2.0,1,-103,3320,0.2276918888092041,0.0
coma_cos_pos2.0_2.bmg,05a4c0af0bad6455a09f0afce66b64dcfcb43185b82554b097d7a3cf3f79c7c0,coma_cos_pos2.0,coma_cos,2.0,2,-103,2858,0.1644153594970703,0.0
coma_cos_pos2.0_3.bmg,d9dd2e8e8cc2b92db93436ad0571ce63c34e0a8bdaf0c9c6f002a70582243a58,coma_cos_pos2.0,coma_cos,2.0,3,-103,3271,0.16601061820983887,0.0
coma_cos_pos2.0_4.bmg,c4df87d4a94c3f534e51ce32ebab0df86d7400a9dd4ab64585dc1e056af131d5,coma_cos_pos2.0,coma_cos,2.0,4,-50,3323,0.10393357276916504,0.0
coma_sin_ne_1.bmg,93c5783bf14357fc8125e85a8be2e6a9c0b732e576ffd79dc2af15c7de359e2f,coma_sin_ne,coma_sin,-2.0,1,-49,3870,0.1256725788116455,0.0
